country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-22,NA,NA,NA,NA,9,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-23,NA,NA,NA,NA,3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-24,NA,NA,NA,NA,-2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-25,NA,NA,NA,NA,-5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-26,NA,NA,NA,NA,0,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-27,NA,NA,NA,NA,-4,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-29,NA,NA,NA,NA,1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-30,NA,NA,NA,NA,-12,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-01,NA,NA,NA,NA,-7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-02,NA,NA,NA,NA,-9,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-03,NA,NA,NA,NA,-9,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-04,NA,NA,NA,NA,-2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-06,NA,NA,NA,NA,5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-07,NA,NA,NA,NA,-1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-08,NA,NA,NA,NA,1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-09,NA,NA,NA,NA,-1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-10,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-11,NA,NA,NA,NA,0,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-13,NA,NA,NA,NA,5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-14,NA,NA,NA,NA,-3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-15,NA,NA,NA,NA,6,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-16,NA,NA,NA,NA,-4,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-17,NA,NA,NA,NA,1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-18,NA,NA,NA,NA,-5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-20,NA,NA,NA,NA,5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-21,NA,NA,NA,NA,-1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-22,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-23,NA,NA,NA,NA,-1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-24,NA,NA,NA,NA,-7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-25,NA,NA,NA,NA,-3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-27,NA,NA,NA,NA,-51,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-15,NA,NA,-4,NA,NA,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-16,NA,NA,-11,NA,NA,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-22,NA,NA,-20,NA,NA,NA
